Rank,Name,Count,Year,Country
29,Karen,899,1993,Chile
30,Marcela,870,1993,Chile
31,Patricia,841,1993,Chile
32,Elizabeth,841,1993,Chile
33,Vanessa,841,1993,Chile
34,Pamela,812,1993,Chile
35,Karla,725,1993,Chile
36,Nicol,725,1993,Chile
37,Victoria,696,1993,Chile
38,Rocío,667,1993,Chile
39,Estefanía,638,1993,Chile
40,Evelyn,580,1993,Chile
41,Verónica,580,1993,Chile
42,Belén,551,1993,Chile
43,Yessenia,551,1993,Chile
44,Paola,551,1993,Chile
45,Michelle,493,1993,Chile
46,Rosa,493,1993,Chile
47,Nataly,493,1993,Chile
48,Jennifer,493,1993,Chile
49,Jessica,493,1993,Chile
50,Angela,464,1993,Chile
